,CustomerID,CompanyName,City,PostalCode,SalesOrderID,OrderDate,UnitPrice,OrderQty,Product_864_Bought
39,29736,Action Bicycle Specialists,Woolston,WA1 4SY,71784,2008-06-01T00:00:00.0000000,34.925,23,YES
5,29584,Futuristic Bikes,Culver City,90232,71895,2008-06-01T00:00:00.0000000,38.1,3,YES
29,29612,Channel Outlet,High Wycombe,HP10 9QY,71885,2008-06-01T00:00:00.0000000,38.1,3,YES
8,29485,Professional Sales and Service,Van Nuys,91411,71782,2008-06-01T00:00:00.0000000,38.1,6,YES
35,29929,Many Bikes Store,Fullerton,92831,71902,2008-06-01T00:00:00.0000000,38.1,6,YES
18,29957,Eastside Department Store,Union City,94587,71783,2008-06-01T00:00:00.0000000,34.925,15,YES
11,29982,Discount Tours,Daly City,94015,71920,2008-06-01T00:00:00.0000000,38.1,3,YES
24,29796,Riding Cycles,Liverpool,L4 4HB,71797,2008-06-01T00:00:00.0000000,34.925,23,YES
13,29546,Bulk Discount Store,London,SE1 8HL,71938,2008-06-01T00:00:00.0000000,38.1,4,YES
15,29877,Paints and Solvents Company,Englewood,80110,71897,2008-06-01T00:00:00.0000000,38.1,1,YES
0,30027,Engineered Bike Systems,Oxnard,93030,71816,2008-06-01T00:00:00.0000000,63.9,1,NO
31,30089,Thrifty Parts and Sales,Oxnard,93030,71815,2008-06-01T00:00:00.0000000,5.394,2,NO
26,29922,Closest Bicycle Store,Milton Keynes,MK8 8ZD,71832,2008-06-01T00:00:00.0000000,158.43,1,NO
27,30102,Sports Store,Cambridge,CB4 4BZ,71846,2008-06-01T00:00:00.0000000,461.694,2,NO
30,30025,Essential Bike Works,Abingdon,OX14 4SE,71917,2008-06-01T00:00:00.0000000,5.394,7,NO
33,29932,Instruments and Parts Company,Gloucestershire,GL7 1RY,71898,2008-06-01T00:00:00.0000000,445.41,2,NO
32,30050,Metropolitan Bicycle Supply,London,W1N 9FA,71936,2008-06-01T00:00:00.0000000,23.484,6,NO
34,29975,Sports Products Store,Santa Ana,92701,71863,2008-06-01T00:00:00.0000000,24.294,2,NO
37,29660,Extreme Riding Supplies,Sherman Oaks,91403,71796,2008-06-01T00:00:00.0000000,602.346,2,NO
38,29781,The Bicycle Accessories Company,Alhambra,91801,71923,2008-06-01T00:00:00.0000000,5.2142,14,NO
21,30113,Nearby Cycle Shop,West Sussex,RH15 9UD,71780,2008-06-01T00:00:00.0000000,32.994,1,NO
23,29531,Remarkable Bike Store,Las Vegas,89106,71935,2008-06-01T00:00:00.0000000,5.2142,13,NO
10,29741,Central Bicycle Specialists,Maidenhead,SL67RJ,71946,2008-06-01T00:00:00.0000000,31.584,1,NO
2,30033,Transport Bikes,Sandy,84070,71856,2008-06-01T00:00:00.0000000,54.894,1,NO
3,29938,Trailblazing Sports,Cerritos,90703,71845,2008-06-01T00:00:00.0000000,12.144,3,NO
6,29638,Aerobic Exercise Company,Camarillo,93010,71915,2008-06-01T00:00:00.0000000,48.594,1,NO
7,29653,Thrilling Bike Tours,Santa Fe,87501,71858,2008-06-01T00:00:00.0000000,5.394,3,NO
22,29568,Coalition Bike Company,El Segundo,90245,71899,2008-06-01T00:00:00.0000000,48.594,1,NO
17,29847,Good Toys,Auburn,95603,71774,2008-06-01T00:00:00.0000000,356.898,1,NO
20,29644,Vigorous Sports Store,Oxon,OX16 8RS,71867,2008-06-01T00:00:00.0000000,858.9,1,NO
1,30072,West Side Mart,Wokingham,RG41 1QW,71776,2008-06-01T00:00:00.0000000,63.9,1,NO
41,30019,Tachometers and Accessories,Milton Keynes,MK8 8DF,71831,2008-06-01T00:00:00.0000000,41.994,6,NO
